,message_id,id_channel,subscribers,date,message,viral_final,is_economic,topic,confidence,reason,economic_signals,noise_signals,band_id,band_label
0,47b788ec-0a8b-4c12-a498-ca0295056007,6,239000,2025-04-23 05:20:50,"Большинство граждан России признались, что хотели бы получать всю свою зарплату в иностранной валюте — долларах США или евро. Третьей по популярности валютой стал юань, выяснила платформа Stape. В число редко называемых вариантов попали британский фунт стерлингов, швейцарский франк, криптовалюта и рубль",0.7621046974240318,True,Валютный рынок,0.92,"Новость описывает предпочтения граждан получать зарплату в иностранной валюте, что отражает экономическое поведение, связанное с валютным рынком.",,,0,70-100
1,9369fd65-1b1d-448b-baa1-98d8bb3b4010,18,136000,2025-02-26 16:16:08,"Если доллар опустится ниже 80 рублей, российские власти примут меры для его возвращения к 96 рублям, — считают эксперты. Укрепление рубля невыгодно чиновникам и крупным нефтяным компаниям, которые активно лоббируют его ослабление. 

Падение доллара всего на один рубль сокращает нефтегазовые доходы примерно на 113 млрд рублей, что напрямую бьет по бюджету. Если нацвалюта сохранит стоимость около 86 рублей за доллар, казна недополучит 1,13 трлн рублей. Для сравнения: общие доходы бюджета в этом году прогнозируются на уровне 40 трлн.

Нефтяники, извлекающие выгоду из экспорта, настаивают на слабом рубле, чтобы сохранить высокую рублевую выручку при продаже сырья за валюту. Однако это идет вразрез с интересами десятков миллионов россиян: ослабление рубля разгоняет инфляцию, удорожает импорт и снижает покупательную способность населения, а ЦБ повышает ключевую ставку. 

Экономисты критикуют такой подход, указывая, что выгода нефтяного лобби оборачивается убытками для большинства граждан.
𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸",0.7136369372854778,True,Валютный рынок,0.95,"Текст подробно описывает влияние курса доллара к рублю, меры властей и последствия для бюджета, инфляции и ключевой ставки, что относится к валютному рынку.",,,0,70-100
2,ebd6bce8-5a91-4245-91ad-24f4dc0a9872,18,136000,2025-01-20 06:50:55,"Доллар взлетит до 115 рублей уже сегодня. Это произойдёт сразу после инаугурации Трампа, предупреждают российские экономисты. Аналитики уверены, что покупать доллары стоит прямо сейчас, если вы планируете траты в валюте.

🤑 The Экономист",0.7836518121244045,True,Валютный рынок,0.95,"Новость посвящена прогнозу курса доллара к рублю и рекомендациям по покупке валюты, что относится к валютному рынку.",,,0,70-100
3,b188bd53-6415-41b4-b67a-c1ab0cb817cf,2,132000,2025-02-24 15:13:37,"#Макро
Биржевой механизм валютного курса в России разрушен — Решетников",0.7263616327535105,True,Валютный рынок,0.95,"Текст упоминает разрушение биржевого механизма валютного курса в России, что относится к валютному рынку.",,,0,70-100
4,638595a5-617d-4cbf-b61f-c0e5fe63c8b4,6,239000,2025-07-28 14:03:17,"Доллар резко вырос по отношению к рублю на российском внебиржевом рынке, превысив 81 рубль впервые за последние два месяца. В целом рубль слабеет на фоне повышенного спроса со стороны импортеров и снижения ключевой ставки ЦБ, но 28 июля добавились неблагоприятные геополитические новости, объясняют аналитики",0.7606697366611261,True,Валютный рынок,0.96,"Текст описывает резкое движение курса доллара к рублю, упоминает ключевую ставку ЦБ и спрос импортеров, что является явным экономическим сигналом валютного рынка.",,,0,70-100
5,5cf47d91-da31-479a-95a3-9a29feda68c9,5,162000,2025-02-21 07:58:35,"Владельцы старых долларов рискуют потерять часть сбережений или вовсе их лишиться. С осени 2024 года в России, ОАЭ, Турции и некоторых странах Юго-Восточной Азии перестанут принимать купюры, выпущенные до 2013 года. В ряде государств такие банкноты уже обменивают с большим дисконтом. В Госдуме заявили, что россияне сами несут ответственность за эту ситуацию.

🔵 Bloomberg",0.8103802699422847,True,Валютный рынок,0.95,"Новость описывает отказ от приёма старых долларовых банкнот, что напрямую влияет на валютный рынок и финансовые потери держателей валюты.",,,0,70-100
6,4ecada5e-9171-44d1-b9b0-872e663660ca,2,132000,2025-02-27 07:39:21,"#Банки
К широкому внедрению цифрового рубля перейдем несколько позже планов (1 июля 2025). Новую дату назовём позже — Набиуллина",0.7173416838392187,True,Валютный рынок,0.95,"Новость сообщает о переносе сроков внедрения цифрового рубля, что относится к валютному рынку и государственной монетарной политике.",,,0,70-100
7,005f8df1-df3a-4413-92db-693672669a73,6,239000,2025-05-21 19:42:17,"Банк России установил на 22 мая официальный курс доллара на уровне 79,75 рубля. Ниже 80 рублей курс доллара опустился впервые с мая 2023 года. При этом евро подорожал до 91,29 рубля, а юань почти не изменился",0.7114960749447226,True,Валютный рынок,0.96,"Новость сообщает о решении Банка России установить официальный курс доллара, а также о текущих курсах евро и юаня, что относится к валютному рынку.",,,0,70-100
8,7789effe-a09b-4070-99e7-8c6ade507f8e,1,1862000,2025-05-29 18:57:59,⚡️Доллар падает почти на 4% и торгуется ниже 77 рублей,0.7257636910419649,True,Валютный рынок,0.96,"Текст сообщает о значительном падении курса доллара к рублю, что относится к валютному рынку.",,,0,70-100
9,14dc8853-74ce-40d0-bce2-b1a867938ab0,2,132000,2025-04-24 10:13:17,"#Макро 
Оснований для дальнейшего укрепления рубля не видно, к середине или концу 2025г он ослабнет — Глава ВТБ Костин",0.7454055351080277,True,Валютный рынок,0.95,"Текст обсуждает перспективы курса рубля, что является явным экономическим сигналом на валютном рынке.",,,0,70-100
10,cda0195d-30c3-4c0f-8d41-b6f982106c90,6,239000,2025-01-23 06:21:04,"ВТБ запустил переводы в лирах в любые банки Турции, узнали «Ведомости». В ВТБ отметили, что не гарантируют зачисления денег — это зависит от турецких банков и их готовности принять перевод. «Важно, чтобы все участники сделки не были в санкционных списках», — пояснили в банке",0.7828956800210031,True,Валютный рынок,0.95,"Новость описывает запуск банковских переводов в иностранной валюте (лирах) и упоминает санкционные ограничения, что относится к валютному рынку и финансовым операциям.",,,0,70-100
11,7221c5f0-36d2-4dba-87b6-8eb12f92558e,18,136000,2025-01-11 12:56:47,"Доходность вкладов россиян в российских банках в пересчете на доллар упала примерно в два раза за 2024 год. Причиной стало падение курса с 90 до 100 рублей за доллар. При ставках 18–20% потери составили более 50%.  

🤑 The Экономист",0.7747836707955322,True,Валютный рынок,0.95,"Текст содержит конкретные данные о падении курса рубля к доллару и его влиянии на доходность вкладов, что является экономическим сигналом валютного рынка.",,,0,70-100
12,1b24087c-9056-4612-8253-87572a1f31a0,18,136000,2025-05-30 08:22:30,"В России начинают формироваться предпосылки банковского кризиса: укрепление рубля обернулось для банков миллиардными убытками.

По итогам первого квартала 2025 года российские банки зафиксировали совокупный убыток в размере 200 млрд рублей в результате укрепления рубля. Основной причиной таких потерь стала открытая валютная позиция, при которой объем активов в иностранной валюте превышает обязательства. Это уязвимое положение делает банки крайне чувствительными к изменениям валютного курса.

В прошлые годы именно ослабление рубля приносило банкам значительную часть прибыли. Например, только за ноябрь 2024 года валютная переоценка обеспечила прибыль в 140 млрд рублей, в августе — 130 млрд, в октябре — 23 млрд. Такая зависимость от колебаний курса фактически превращала спекуляции с валютой в один из ключевых источников дохода банковского сектора.

Однако ситуация резко изменилась: укрепление рубля не только обнулило эти источники доходов, но и обернулось серьезными финансовыми потерями. Более того, последние данные Банка России свидетельствуют о том, что, несмотря на негативный эффект, банки лишь постепенно сокращают объемы валютных активов. Так, с 1 октября 2024 года по 1 апреля 2025 года открытая валютная позиция снизилась всего на $400 млн — с $1,6 млрд до $1,2 млрд. Это говорит о недостаточной скорости адаптации банков к новой макроэкономической реальности.

Финансовые эксперты предупреждают: устойчивость банковской системы России может оказаться под угрозой. При сохранении тренда на укрепление рубля и отсутствии кардинальных изменений в стратегии управления валютными рисками, убытки могут нарастать, создавая предпосылки для полномасштабного банковского кризиса. Особенно уязвимыми выглядят банки с высокой долей спекулятивных операций и недостаточной диверсификацией активов.

В условиях ограниченного доступа к внешнему финансированию и нестабильной внутренней экономической среды, способность банков справляться с шоками — ключевой фактор стабильности. Однако текущие данные вызывают всё больше сомнений в их устойчивости.
𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸",0.7288023423633669,True,Валютный рынок,0.95,"Новость описывает, как укрепление рубля привело к миллиардным убыткам банков из‑за открытых валютных позиций, что является явным экономическим событием на валютном рынке.",,,0,70-100
13,42e2f4c9-e383-4582-adf7-de39cacf2bef,6,239000,2025-08-14 16:18:02,"❗️Правительство обнулило нормативы обязательной продажи валютной выручки экспортерами. Постановление об этом подписал премьер Мишустин. Решение принято в связи с укреплением и стабилизацией курса рубля, а также отсутствием проблем с валютной ликвидностью, говорится в сообщении правительства",0.7793666387329442,True,Валютный рынок,0.96,"Новость описывает правительственное решение отменить обязательную продажу валютной выручки, что напрямую влияет на валютный рынок и регулирование валютных операций.",,,0,70-100
14,6bd449e6-9816-4750-a1fc-055dd886dfd5,5,162000,2025-03-17 16:20:49,"Доллар свалился до 81 рубля.

🔵 Bloomberg",0.7393886801404711,True,Валютный рынок,0.95,"Текст сообщает о падении курса доллара к рублю, что является явным сигналом валютного рынка.",,,0,70-100
15,d9ebe609-c5e1-4a2c-a27d-b58a56032e6e,4,350000,2025-01-20 06:27:36,"Доллар взлетит до 115 рублей уже сегодня. Это произойдёт сразу после инаугурации избранного президента США Дональда Трампа, предупреждают российские экономисты. Аналитики уверены, что прямо сейчас стоит покупать доллары, если вы планируете траты в валюте. @bankrollo",0.7593970502790262,True,Валютный рынок,0.8,"Текст содержит прогноз курса доллара к рублю и рекомендации аналитиков, что указывает на валютный рынок.",,,0,70-100
16,f7755a05-d3ec-4c86-96b3-3adc9fc98e35,18,136000,2025-01-13 20:13:16,"Байден в прощальной внешнеполитической речи заявил, что благодаря действиям его администрации «рубль находится под серьезным давлением». Он также добавил, что Россия существенно ослабла за четыре года.

🤑 The Экономист",0.7151460833117724,True,Валютный рынок,0.95,"Новость содержит прямое упоминание давления на рубль, что относится к валютному рынку.",,,0,70-100
17,5b7f7eae-e681-4e1c-b025-9ef0eeea5157,4,350000,2025-05-12 20:47:35,"Девальвация рубля начнётся уже этим летом для стабилизации бюджета, пишут СМИ. Курс будет снижаться, и к концу августа доллар может достичь 100–105 рублей, евро — 112–115 рублей. ЦБ и Минфин готовы сглаживать резкие колебания. @bankrollo",0.7678250115278644,True,Валютный рынок,0.96,"Текст описывает планируемую девальвацию рубля, прогнозы курсов и действия ЦБ и Минфина, что явно относится к валютному рынку.",,,0,70-100
18,cb2a2fe0-034e-4013-b565-ba0bdcce4db3,5,162000,2025-04-20 08:41:07,"Эксперты предупреждают о возможной девальвации рубля до 110–120 за доллар к лету. Причины — глобальный торговый кризис, вызванный пошлинами Трампа, и резкое падение цен на нефть, которые бьют по экспортным доходам России и бюджету.

🔵 Bloomberg",0.7101173817319939,True,Валютный рынок,0.95,"Новость посвящена прогнозу девальвации рубля и её экономическим причинам, что относится к валютному рынку.",,,0,70-100
19,aeef1c18-9632-459b-bbb7-42ddb2b91d36,5,162000,2025-02-21 09:07:06,"Российские банки начали взимать высокие комиссии за приём старых долларов — от 1 до 5 тысяч рублей за купюру. В некоторых случаях клиенты вынуждены доплачивать даже при обмене на новые банкноты.

🔵 Bloomberg",0.8157412366248771,True,Валютный рынок,0.96,"Новость описывает банковские комиссии за приём и обмен старых долларов, что относится к валютному рынку и финансовым операциям.",,,0,70-100
20,9637a03a-1dc9-4d52-b4e2-65562016dd5a,2,132000,2025-04-03 09:01:10,"#Макро 
Минфин РФ с 7 апреля перейдет к продажам валюты/золота по бюджетному правилу, объем операций в день - 1.6 млрд руб

ЦБ РФ с 7 апреля по 12 мая увеличит объем продажи валюты до 10.46 млрд руб./день с 5.96 млрд руб./день

Минфин впервые за год перейдет к продаже валюты и золота",0.7767336430447588,True,Валютный рынок,0.95,"Новость описывает конкретное решение Минфина и ЦБ по продаже валюты и золота, что напрямую влияет на валютный рынок.",,,0,70-100
21,b2ce75a4-6e09-4946-9113-6bf1aaf3683c,3,3385000,2025-02-21 03:13:01,"В Госдуме предупредили владельцев старых долларов о рисках.

Проблемы с обменом банкнот, выпущенных до 2013 года, начались осенью прошлого года. Валюту нового образца требуют в ОАЭ и Турции, а в ряде стран Юго-Восточной Азии старые доллары обменивают с большим дисконтом. 

""Мы в данном случае не можем командовать банками, принимать или нет (старые доллары)... Так что это не проблема Центрального банка, это проблема тех, кто приобрел эту валюту иностранную и вдруг теперь понял, что от нее избавиться не так просто"", - рассказал РИА Новости глава комитета ГД по финрынку Аксаков.",0.7069446388869168,True,Валютный рынок,0.95,"Новость описывает проблемы обмена старых долларовых банкнот, их дисконт и роль банков, что относится к валютному рынку и финансовым рискам.",,,0,70-100
22,3cbc4ddf-e1cc-48e8-8067-a047b7227bc1,2,132000,2025-01-22 15:12:03,"ЦБ РФ С 23 ЯНВАРЯ СНИЗИЛ ОФИЦИАЛЬНЫЙ КУРС ДОЛЛАРА США НА 1,65 РУБ., ДО 98,2804 РУБ.


Замечено Шпионом РЦБ.
Подключить: @StockSpy_bot",0.7567661504864369,True,Валютный рынок,0.96,"Новость сообщает о решении Центрального банка России снизить официальный курс доллара, что является явным событием на валютном рынке.",,,0,70-100
